timestamp;sensor1;sensor2;sensor3;sensor4;sensor5;status
2025-06-06 15:20:49;100;250.45;True;28.63;70;Failed
2025-06-06 15:20:54;0;774.86;True;28.63;70;Failed
2025-06-06 15:21:00;10;499.47;False;28.63;70;Failed
2025-06-06 15:21:05;7;388.67;False;28.63;70;Success
2025-06-06 15:21:10;76;477.99;False;28.63;70;Success
2025-06-06 15:21:15;66;11.25;True;28.63;70;Success
2025-06-06 15:21:20;72;937.26;True;28.63;70;Success
2025-06-06 15:21:25;63;972.33;True;28.63;70;Success
2025-06-06 15:21:30;42;449.54;False;28.63;70;Success
2025-06-06 15:21:35;1;765.33;False;28.63;70;Success
2025-06-06 15:21:40;70;857.18;False;28.63;70;Success
2025-06-06 15:21:45;26;666.44;False;28.63;70;Success
2025-06-06 15:21:50;23;403.79;True;28.63;70;Success
2025-06-06 15:21:55;36;644.69;True;28.63;70;Success
